Id,JobTitle,Company,Location,Salary,TypeofJob,Description,Require,MoreInfo
9747,"HOT Nhân Viên Lập Trình (ASP.NET MVC, C#)",VTC Telecom,"Quận 10, Hồ Chí Minh",Thương lượng,Viễn Thông,,"C#, SQL Server, ASP.NET MVC, API",https://topdev.vn/viec-lam/nhan-vien-lap-trinh-asp-net-mvc-c-vtc-telecom-2026997
9748,HOT Database Engineer,Công Ty CP Dược Phẩm Pharmacity,"Thành phố Thủ Đức, Quận Bình Thạnh - Hồ Chí Minh",Thương lượng,Thương mại điện tử/ Bán lẻ,"Be responsible for database management including configuration, security, resource monitoring and reporting, troubleshooting, and the development of s...","SQL, Database, Azure, Data Warehouse, Apache",https://topdev.vn/viec-lam/database-engineer-cong-ty-cp-duoc-pham-pharmacity-2026995
9749,"Lập trình viên NodeJS (NestJS-ExpressJS, TypeORM)",ASIM TELECOM,"Quận Ba Đình, Hà Nội - Quận Tân Bình, Hồ Chí Minh",Thương lượng,Viễn Thông,"Mạng di động Local (Local) - nhà mạng thứ 8 tại VN do Công ty Cổ phần Viễn thông ASIM (ASIM Telecom) phát triển, kết hợp cung cấp dịch vụ di động dựa...","NodeJS, NestJS, Back-End",https://topdev.vn/viec-lam/lap-trinh-vien-nodejs-nestjs-expressjs-typeorm-asim-telecom-2027000
9750,HOT AUTOMATION TESTER,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh (HSC),"Quận 1, Hồ Chí Minh",Thương lượng,Chứng khoán,,"Tester, Automation Tester",https://topdev.vn/viec-lam/automation-tester-cong-ty-co-phan-chung-khoan-thanh-pho-ho-chi-minh-hsc-2027003
9751,Nhân viên Thiết kế và Quản trị cơ sở dữ liệu,Công ty Cổ phần Tập đoàn Lộc Trời,"Thành phố Thủ Đức, Hồ Chí Minh",Thương lượng,Nông nghiệp,"Thiết kế, quản trị hệ thống cơ sở dữ liệu: Chịu trách nhiệm xây dựng hệ thống dữ liệu quản trị (Database Warehouse). Quản trị và vận hành các hoạt đ...","API, Database Administrator",https://topdev.vn/viec-lam/nhan-vien-thiet-ke-va-quan-tri-co-so-du-lieu-cong-ty-co-phan-tap-doan-loc-troi-2027005
9752,"Quality Control Engineer (QA QC, Tester)",ASIM TELECOM,"Quận Ba Đình, Hà Nội - Quận Tân Bình, Hồ Chí Minh",Thương lượng,Viễn Thông,,"QC, Tester, Manual Tester",https://topdev.vn/viec-lam/quality-control-engineer-qa-qc-tester-asim-telecom-2027002
9753,"HOT (SENIOR) FRONT-END DEVELOPER (HTML, CSS, JavaScript)",Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh (HSC),"Quận 1, Hồ Chí Minh",Thương lượng,Chứng khoán,The Frontend Developer / Senior Frontend Developer is responsible for implementing and maintaining web pages that are optimized for different devices...,"CSS, JavaScript, HTML, Front-End",https://topdev.vn/viec-lam/senior-front-end-developer-html-css-javascript-cong-ty-co-phan-chung-khoan-thanh-pho-ho-chi-minh-hsc-2027001
9754,Junior Mobile App Developer (Java/ Swift/ Kotlin/ C#),Canvas.Asia,"Quận 1, Hồ Chí Minh","700 - 1,000 USD","Outsourcing, Software",,"Java, Swift, C#, Mobile, Kotlin, Android, iOS",https://topdev.vn/viec-lam/junior-mobile-app-developer-java-swift-kotlin-c-canvas-asia-2027006
9755,Chuyên viên Phòng Phát triển Ứng dụng (Java/.NET/C#),NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT,"Quận Hoàn Kiếm, Hà Nội",Thương lượng,Ngân Hàng,,"Java, C#, .NET, Spring, Spring Boot",https://topdev.vn/viec-lam/chuyen-vien-phong-phat-trien-ung-dung-java-net-c-ngan-hang-thuong-mai-co-phan-buu-dien-lien-viet-2027008
9756,Chuyên viên Ban Nghiên cứu - Công nghệ Số (AI/ Big Data/ Công Nghệ),NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT,"Quận Hoàn Kiếm, Hà Nội",Thương lượng,Ngân Hàng,,"Big Data, Blockchain, AI",https://topdev.vn/viec-lam/chuyen-vien-ban-nghien-cuu-cong-nghe-so-ai-big-data-cong-nghe-ngan-hang-thuong-mai-co-phan-buu-dien-lien-viet-2027010
9757,"Chuyên viên Phân tích Dữ liệu (Database Oracle, PostgreSQL, MySQL)",NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT,"Quận Hoàn Kiếm, Hà Nội",Thương lượng,Ngân Hàng,,"Oracle, MySQL, PostgreSQL, Data Analytics, Database",https://topdev.vn/viec-lam/chuyen-vien-phan-tich-du-lieu-database-oracle-postgresql-mysql-ngan-hang-thuong-mai-co-phan-buu-dien-lien-viet-2027009
9758,Junior Web Developer (PHP/ .NET/ Java/ JS/ Python),Canvas.Asia,"Quận 1, Hồ Chí Minh","700 - 1,000 USD","Outsourcing, Software",,"PHP, Java, JavaScript, .NET, Python",https://topdev.vn/viec-lam/junior-web-developer-php-net-java-js-python-canvas-asia-2027007
9759,Remote Senior Web Engineer,Công ty TNHH MTV Giải Pháp Số TMN,"Thị xã Bình Minh, Vĩnh Long","1,500 - 1,900 USD",Gia công phần mềm,,"C#, Angular, ASP.NET, .NET, ASP.NET Core",https://topdev.vn/viec-lam/remote-senior-web-engineer-cong-ty-tnhh-mtv-giai-phap-so-tmn-2027011
9760,Trưởng Ban Tối ưu & Thiết kế UI/UX (Chuyên môn BA),NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT,"Quận Hoàn Kiếm, Hà Nội",Thương lượng,Ngân Hàng,,"UX/UI Design, Business Analyst",https://topdev.vn/viec-lam/truong-ban-toi-uu-thiet-ke-ui-ux-chuyen-mon-ba-ngan-hang-thuong-mai-co-phan-buu-dien-lien-viet-2027012
9761,"Chuyên viên Vận hành Hệ thống LienViet24h (Oracle, Linux, Web Server)",NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT,"Quận Hoàn Kiếm, Hà Nội","800 - 1,500 USD",Ngân Hàng,,"Linux, Oracle, SQL Server, Web Service",https://topdev.vn/viec-lam/chuyen-vien-van-hanh-he-thong-lienviet24h-oracle-linux-web-server-ngan-hang-thuong-mai-co-phan-buu-dien-lien-viet-2027109
9762,FRONTEND DEVELOPER (REACTJS/VUEJS),"Secomm Solution Consulting Co., Ltd.","Quận 1, Hồ Chí Minh",Thương lượng,Phần Mềm,"SECOMM is looking for creative and high-skilled Frontend Developers to build, develop and maintain software products for our clients in Australia, Sin...","Front-End, ReactJS, VueJS",https://topdev.vn/viec-lam/frontend-developer-reactjs-vuejs-secomm-solution-consulting-co-ltd-2027107
9763,Web Developer (PHP/Magento),"Secomm Solution Consulting Co., Ltd.","Quận 1, Hồ Chí Minh",Thương lượng,Phần Mềm,"SECOMM is looking for creative and high-skilled PHP Developers to build, develop and maintain eCommerce websites for clients in Australia, Singapore,...","PHP, Magento, Web Developer",https://topdev.vn/viec-lam/web-developer-php-magento-secomm-solution-consulting-co-ltd-2027106
9764,Junior Back-end Engineer (Python/SQL/Redis),HOIIO,"Quận 3, Hồ Chí Minh",Thương lượng,Phần Mềm,,"SQL, Python, Redis, Back-End",https://topdev.vn/viec-lam/junior-back-end-engineer-python-sql-redis-hoiio-2027102
9765,Kỹ sư phát triển phần mềm nhúng,Tecapro Telecom,"Quận Tân Bình, Hồ Chí Minh",,Thương lượng,4 ngày trước,"Embedded Engineer, C/C++",https://topdev.vn/viec-lam/ky-su-phat-trien-phan-mem-nhung-tecapro-telecom-2027101
9766,Kỹ sư phát triển phần mềm (PHP/ .NET/Python/JavaScript),Tecapro Telecom,"Quận Tân Bình, Hồ Chí Minh",,Thương lượng,4 ngày trước,"PHP, JavaScript, Python, .NET, MongoDB, Front-End, Back-End, Full-Stack",https://topdev.vn/viec-lam/ky-su-phat-trien-phan-mem-php-net-python-javascript-tecapro-telecom-2027100
9767,HOT SAP ABAP Developer,Laidon Group,"Quận Tân Bình, Hồ Chí Minh","25,000,000 - 50,000,000 VND",B2B Services,,"OOP, SAP, ABAP",https://topdev.vn/viec-lam/sap-abap-developer-laidon-group-2027099
9768,[HN/Remote/Hybrid] Software Developer (JS/Python/Java/Go/PHP...),CÔNG TY CỔ PHẦN TEQIE,"Quận Cầu Giấy, Hà Nội - None","600 - 1,500 USD","Gia công phần mềm, Phần Mềm","Founded by tech experts from industry leaders including Amazon, Google, eBay, Booking.com,... TEQIE provides world-class software development services...","Python, NodeJS, PHP, Java, JavaScript, React, Golang",https://topdev.vn/viec-lam/hn-remote-hybrid-software-developer-js-python-java-go-php-cong-ty-co-phan-teqie-2027098
9769,HOT .NET Engineer,Devblock VN,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,Phần Mềm,"Top 3 Reasons To Join Us International team, Cool environment and Flexible time Competitive salary that matches your talent Use and apply new tec...","ASP.NET, C#, .NET, Azure, .NET Core, ASP.NET Core",https://topdev.vn/viec-lam/net-engineer-devblock-vn-2027097
9770,Front-end Developer (Angular),Blogic Systems,"Thành phố Thủ Đức, Hồ Chí Minh","1,300 - 2,000 USD",Phần Mềm,,"HTML, Front-End, CSS3, Angular",https://topdev.vn/viec-lam/front-end-developer-angular-blogic-systems-2026564
9771,iOS DEVELOPER (FRESHER - SENIOR),Minerva Technology Solutions JSC,"Quận 5, Hồ Chí Minh","9,000,000 - 30,000,000 VND","Outsourcing, Phần Mềm",,"iOS, OOP, Mobile, Swift, SwiftUI",https://topdev.vn/viec-lam/ios-developer-fresher-senior-minerva-technology-solutions-jsc-2026566
9772,Chuyên viên cao cấp phát triển ứng dụng (Flutter),Công ty Cổ phần Chứng khoán KS (KS Securities – KSS),"Quận Nam Từ Liêm, Hà Nội",Thương lượng,Chứng khoán,,"Android, iOS, Flutter",https://topdev.vn/viec-lam/chuyen-vien-cao-cap-phat-trien-ung-dung-flutter-cong-ty-co-phan-chung-khoan-ks-ks-securities-kss-2026567
9773,QA/QC - Up to 1700 USD,SoBanHang,"Quận Bình Thạnh, Hồ Chí Minh - Quận Cầu Giấy, Hà Nội","Lên tới 1,700 USD",Phần Mềm,Finan is a Singapore - registered technology startup and the owner of the SoBanHang application. Founded by management executives from leading e-co...,"SQL, Agile & Scrum, Automation Tester, Manual Tester, Mobile Tester, QA, QC",https://topdev.vn/viec-lam/qa-qc-up-to-1700-usd-sobanhang-2026574
9774,.Net Developer - T4020,CMC Global,"Quận Cầu Giấy, Hà Nội",Thương lượng,Phần Mềm,,"ASP.NET, .NET, WebForm, .NET Core",https://topdev.vn/viec-lam/net-developer-t4020-cmc-global-2026576
9775,Software Engineer (Android),V-KEY,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,Phần Mềm,"V-Key is one of the world’s leading deep-tech companies in mobile cyber-security. Our patented technology V-OS has been deployed by top banks, mobile...","Android, Microsoft Dynamics",https://topdev.vn/viec-lam/software-engineer-android-v-key-2026577
9776,Front-end Engineer (VueJS / ReactJS),LINE Vietnam,"Quận 10, Hồ Chí Minh",Thương lượng,Phần Mềm,"We are looking for bright, creative, self-starting engineers with broad experience developing and optimizing UX/UI for web application.","JavaScript, VueJS, React, Front-End",https://topdev.vn/viec-lam/front-end-engineer-vuejs-reactjs-line-vietnam-2026572
9777,CHUYÊN VIÊN THIẾT KẾ GIAO DIỆN/TRẢI NGHIỆM NGƯỜI DÙNG (UI/UX Designer),Ngân hàng TMCP Sài Gòn Thương tín (Sacombank),"Quận 3, Hồ Chí Minh","1,000 - 2,500 USD",Ngân Hàng,"Nhằm đẩy mạnh quá trình Chuyển đổi số trong hoạt động kinh doanh và quản trị điều hành, hướng đến tầm nhìn trở thành Ngân hàng bán lẻ hiện đại, đa năn...","UI Design, Digital Design, UX Design",https://topdev.vn/viec-lam/chuyen-vien-thiet-ke-giao-dien-trai-nghiem-nguoi-dung-ui-ux-designer-ngan-hang-tmcp-sai-gon-thuong-tin-sacombank-2026611
9778,PHP Developer,CÔNG TY TNHH GÓC CỦA TIN - TINCORNER,"Quận Hai Bà Trưng, Hà Nội",Thương lượng,Phần Mềm,,"PHP, JavaScript",https://topdev.vn/viec-lam/php-developer-cong-ty-tnhh-goc-cua-tin-tincorner-2026579
9779,"Mobile Developer (Flutter, ReactJS)",YODY Fashion,"Quận Thanh Xuân, Hà Nội - Thành phố Hải Dương, Hải Dương","25,000,000 - 60,000,000 VND",Thương mại điện tử/ Bán lẻ,"Với tầm nhìn trở thành Công ty thời trang số 1 Việt Nam, IPO vào năm 2025, YODY chiêu mộ anh em Công nghệ thông tin về YODY FASHION TECH với chủ đề CẤ...","Mobile, ReactJS, Flutter",https://topdev.vn/viec-lam/mobile-developer-flutter-reactjs-yody-fashion-2026614
9780,CHUYÊN VIÊN LẬP TRÌNH GIAO DIỆN (FRONT-END DEVELOPER),Ngân hàng TMCP Sài Gòn Thương tín (Sacombank),"Quận 3, Hồ Chí Minh","1,000 - 2,000 USD",Ngân Hàng,"Nhằm đẩy mạnh quá trình Chuyển đổi số trong hoạt động kinh doanh và quản trị điều hành, hướng đến tầm nhìn trở thành Ngân hàng bán lẻ hiện đại, đa năn...","AngularJS, JavaScript, JSON, Front-End, Json/xml, TypeScript, Project Coordinator, HTML & CSS, API",https://topdev.vn/viec-lam/chuyen-vien-lap-trinh-giao-dien-front-end-developer-ngan-hang-tmcp-sai-gon-thuong-tin-sacombank-2026619
9781,Kỹ sư AI/ Machine Learning (AI/ML Engineer),Viettel Solutions,"Quận Nam Từ Liêm, Hà Nội","20,000,000 - 40,000,000 VND",Phần Mềm,,"C++, Java, Python, Machine Learning, Microsoft",https://topdev.vn/viec-lam/ky-su-ai-machine-learning-ai-ml-engineer-viettel-solutions-2026751
9782,Technical Support Engineer (Proficiency Korean),Wise Commerce,"Quận Đống Đa, Hà Nội",Thương lượng,Phần Mềm,"Corporate Overview Founded in 2015, WISE COMMERCE is on the path to creating a global digital commerce community for brands and companies in the comm...","Technical Support, Korean",https://topdev.vn/viec-lam/technical-support-engineer-proficiency-korean-wise-commerce-2026752
9783,"Tester, QA/QC",NAB,"Quận 4, Hồ Chí Minh - Quận Đống Đa, Hà Nội - Quận Tân Bình, Hồ Chí Minh",Thương lượng,Fintech,"We are seeking motivated QA/QC Engineers who are passionate, results-focused to take accountability for the design and delivery of Microservices that...","Automation Tester, Automation QA, QA, QC, Tester, Java, Selenium, Manual, Manual Tester, Manual Test",https://topdev.vn/viec-lam/tester-qa-qc-nab-2026800
9784,"PHP Developer (Laravel, MySQL)",Q-CONNECTION,"Quận 1, Hồ Chí Minh",Thương lượng,"Phần Mềm, Dịch vụ IT",,"PHP, MVC, Laravel, CodeIgniter",https://topdev.vn/viec-lam/php-developer-laravel-mysql-q-connection-2026809
9785,"Middle Mobile Developer (iOS, Android, React Native, Flutter)",SOFTWORLD VIETNAM LTD.,"Quận Tân Bình, Hồ Chí Minh","Từ 15,000,000 VND","Phần Mềm, Creative Production, E-commerce Platforms, Product, Outsourcing",Mobile solution team tại Softworld đang tìm kiếm 5 kỹ sư lập trình mobile với 2+ năm kinh nghiệm phát triển để tham gia phát triển các giải pháp di độ...,"Android, iOS, Mobile, React Native, Flutter",https://topdev.vn/viec-lam/middle-mobile-developer-ios-android-react-native-flutter-softworld-vietnam-ltd-2026810
9786,Software Testing Engineer (QA QC/Tester),CÔNG TY TNHH TEQNOLOGICAL ASIA,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,Phần Mềm,"We are seeking the candidates for software testing. You will join in projects such as website, mobile for internal and external customer. Overview: I...","QC, Tester, Japanese, Fintech, Microsoft Dynamics, Manual Tester, QA",https://topdev.vn/viec-lam/software-testing-engineer-qa-qc-tester-cong-ty-tnhh-teqnological-asia-2026803
9787,2D/ 3D Unity Developer,Alomora J.S.C,"Quận Cầu Giấy, Hà Nội","800 - 2,000 USD","Giải trí/ Game, Quảng Cáo Truyền Thông, Tài Chính, Tư vấn giám sát & Quản lý dự án",Aiza World là một thế giới NFT game metaverse mở với lối chơi đa dạng được chạy . Mục tiêu mà Aiza World hướng tới tạo ra những game thú vị cho các ga...,"Unity, Java, C#, Game, Unity3d, Unity2D",https://topdev.vn/viec-lam/2d-3d-unity-developer-alomora-j-s-c-2026819
9788,"Android Developers (Java, Kotlin, Mobile App)",NETVIET MEDIA,"Quận Cầu Giấy, Hà Nội","15,000,000 - 20,000,000 VND",Phần Mềm,,"Android, Java, Kotlin, Mobile",https://topdev.vn/viec-lam/android-developers-java-kotlin-mobile-app-netviet-media-2026815
9789,Test Leader (Manual),BSS Group,"Quận Nam Từ Liêm, Hà Nội","Lên tới 1,500 USD",Thương mại điện tử/ Bán lẻ,,"Tester, Videos Editor, Manual Test",https://topdev.vn/viec-lam/test-leader-manual-bss-group-2026812
9790,Front-end VueJS Developer ~ $1000-$2000,"Tripath Vietnam Co., Ltd.","Quận Cầu Giấy, Hà Nội","25,000,000 - 40,000,000 VND",Phần Mềm,,"Front-End, VueJS",https://topdev.vn/viec-lam/front-end-vuejs-developer-1000-2000-tripath-vietnam-co-ltd-2026817
9791,"Full-stack Developer (ReactJS, NodeJS, JavaScript)",Alomora J.S.C,"Quận Cầu Giấy, Hà Nội","800 - 2,000 USD","Giải trí/ Game, Quảng Cáo Truyền Thông, Tài Chính, Tư vấn giám sát & Quản lý dự án",Aiza World là một thế giới NFT game metaverse mở với lối chơi đa dạng được chạy trên Binance smartchain Mục tiêu mà Aiza World hướng tới tạo ra những...,"JavaScript, NodeJS, Full-Stack, ReactJS",https://topdev.vn/viec-lam/full-stack-developer-reactjs-nodejs-javascript-alomora-j-s-c-2026818
9792,(HÀ NỘI) ĐÀO TẠO JAVA & React MIỄN PHÍ + THỰC TẬP CÓ LƯƠNG!! [KITS 2022],NATIONAL IT INDUSTRY PROMOTION AGENCY (HANOI),"Quận Đống Đa, Hà Nội",Thương lượng,Giáo dục,FREE JAVA TRAINING 6 Months (3month education + 3 month Paid Internship in Korea Company) Tuyển thêm học viên!! ~ 27/5 Đăng ký ngay : https://forms....,"Java, Front-End, Back-End",https://topdev.vn/viec-lam/ha-noi-dao-tao-java-react-mien-phi-thuc-tap-co-luong-kits-2022-national-it-industry-promotion-agency-hanoi-2026920
9793,[All Levels] UNITY GAME DEVELOPER (Intern/Fresher/ Junior /Senior),CÔNG TY CỔ PHẦN BBOLD,"Quận Cầu Giấy, Hà Nội","400 - 1,500 USD",Giải trí/ Game,,"Unity, Game",https://topdev.vn/viec-lam/all-levels-unity-game-developer-intern-fresher-junior-senior-cong-ty-co-phan-bbold-2026922
9794,Bridge System Engineer (Japanese N2),SHIFT ASIA,"Quận 1, Hồ Chí Minh",Thương lượng,Phần Mềm,Shift Asia is a leading company in Software Testing. We are building a new team of talented engineer to extend the software development service. We pl...,"Front-End, Back-End, Software Developer, BrSE, Japanese",https://topdev.vn/viec-lam/bridge-system-engineer-japanese-n2-shift-asia-2026924
9795,Engineering Consultant,SHIFT ASIA,"Quận 1, Hồ Chí Minh",Thương lượng,Phần Mềm,"We are looking for a highly skilled engineering consultant to join our engineering team. As an engineering consultant, you will be meeting with prospe...","Front-End, Japanese, AWS, Microsoft, Cloud",https://topdev.vn/viec-lam/engineering-consultant-shift-asia-2026925
9796,Java Back-end Developer,Ngân hàng TMCP Việt Nam Thịnh Vượng (VPBank),"Quận Đống Đa, Hà Nội",Thương lượng,Ngân Hàng,,"Java, Git, Software Developer, Agile & Scrum",https://topdev.vn/viec-lam/java-back-end-developer-ngan-hang-tmcp-viet-nam-thinh-vuong-vpbank-2026928
9797,Senior Automation Engineer - Up to 3000+,LINE Vietnam,"Quận 10, Hồ Chí Minh",Thương lượng,Phần Mềm,We are looking for an engineer with broad experience in controlling and evaluating project quality. We expect candidates capable of automation and man...,"Performance Testing, Automation Tester, Mobile, Java, Python",https://topdev.vn/viec-lam/senior-automation-engineer-up-to-3000-line-vietnam-2026930
9798,Senior C# Developer (.NET/OOP/Win/Azure),CÔNG TY TNHH PERSOL PROCESS & TECHNOLOGY VIỆT NAM,"Quận 3, Hồ Chí Minh",Thương lượng,Phần Mềm,,"OOP, C#, .NET",https://topdev.vn/viec-lam/senior-c-developer-net-oop-win-azure-cong-ty-tnhh-persol-process-technology-viet-nam-2026929
9799,Systems Administrator,Shuttlerock,"Quận 1, Hồ Chí Minh",Thương lượng,Quảng Cáo Truyền Thông,About the position Shuttlerock is seeking a passionate and dedicated Systems Administrator who wants to travel with us on our journey to become the wo...,System Admin,https://topdev.vn/viec-lam/systems-administrator-shuttlerock-2026931
9800,"IT Comtor (build up to BrSE, PL, PM)",SHIFT ASIA,"Quận 1, Hồ Chí Minh",Thương lượng,Phần Mềm,,"Japanese - N2, Japanese - N1, Japanese ( N1 Or N2), English - Good",https://topdev.vn/viec-lam/it-comtor-build-up-to-brse-pl-pm-shift-asia-2026934
9801,Technical Consultant (Cloud/Azure),NaviWorld Vietnam,"Quận Bình Thạnh, Hồ Chí Minh - Quận Hoàn Kiếm, Hà Nội","800 - 1,000 USD",Triển Khai Phần Mềm,Chúng tôi đang tìm kiếm nhân viên cho vị trí tư vấn giải pháp Azure | Cloud để đáp ứng nhu cầu phát triển kinh doanh của Công ty trong và ngoài nước...,"Cloud, Azure, MS SQL, Microsoft Dynamics",https://topdev.vn/viec-lam/technical-consultant-cloud-azure-naviworld-vietnam-2026933
9802,[Remote] JavaScript Game Developer,Love and Coffee Ltd.,Phần Mềm,,"15,000,000 - 20,000,000 VND",5 ngày trước,"HTML5, JavaScript, Game, CSS3, TypeScript, NodeJS, MongoDB, ExpressJS",https://topdev.vn/viec-lam/remote-javascript-game-developer-love-and-coffee-ltd-2026976
9803,Junior/ Senior React Native Developer - Hà Nội (Min 15tr),eKGIS,"Quận Cầu Giấy, Hà Nội","15,000,000 - 22,000,000 VND",Phần Mềm,"Công ty eKGIS - Đơn vị tiên phong tại Việt Nam cung cấp giải pháp GIS toàn diện, phong phú và đa dạng. Nhằm đưa đến cho khách hàng một sản phẩm tốt hơ...","JavaScript, REST API, React Native, TypeScript",https://topdev.vn/viec-lam/junior-senior-react-native-developer-ha-noi-min-15tr-ekgis-2026979
9804,"Fresher/Junior Full-stack Developer (ReactJS, NodeJS)",ANTSOMI,"Quận Bình Thạnh, Hồ Chí Minh",Lên tới 700 USD,Phần Mềm,,"JavaScript, NodeJS, Full-Stack, ReactJS",https://topdev.vn/viec-lam/fresher-junior-full-stack-developer-reactjs-nodejs-antsomi-2026984
9805,HOT .NET Developer - Chuyên viên Cao cấp Phát Triển Giải pháp Phần mềm Công nghệ Số,Ngân hàng Quốc Tế VIB,"Quận Hoàn Kiếm, Hà Nội - Quận 1, Hồ Chí Minh",Thương lượng,Ngân Hàng,"Chịu trách nhiệm lập trình phần mềm Ứng dụng di động, Ứng dụng Web và các phần mềm ứng dụng khác theo yêu cầu của nghiệp vụ kinh doanh; Đảm bảo phần m...","ASP.NET, C#, MVC, .NET, .NET Core",https://topdev.vn/viec-lam/net-developer-chuyen-vien-cao-cap-phat-trien-giai-phap-phan-mem-cong-nghe-so-ngan-hang-quoc-te-vib-2027063
9806,HOT (Senior) Operations Product Owner,HOANG PHUC International,"Quận 1, Hồ Chí Minh",Thương lượng,Thương mại điện tử/ Bán lẻ,We live in a technology age when keywords like e-commerce and the 4.0 revolution are hotter than ever. We want to use technology to refresh the fashio...,"Product Owner, Business Analyst",https://topdev.vn/viec-lam/senior-operations-product-owner-hoang-phuc-international-2027096
9807,Systems Operation Support,CÔNG TY TNHH LOVEPOP VIỆT NAM,None,Thương lượng,Sản xuất,,"Oracle, ERP, SAP, English - Good, System",https://topdev.vn/viec-lam/systems-operation-support-cong-ty-tnhh-lovepop-viet-nam-2027095
9808,HOT Back End Developer (Nodejs),Ngân hàng Quốc Tế VIB,"Quận 1, Hồ Chí Minh - Quận Hoàn Kiếm, Hà Nội",Thương lượng,Ngân Hàng,"Chịu trách nhiệm (i) Thiết kế, phát triển ứng dụng cho các hệ thống ứng dụng nội bộ theo yêu cầu; (ii) Vận hành các ứng dụng thuộc phạm vi phụ trách c...","Oracle, NodeJS, MongoDB, Back-End",https://topdev.vn/viec-lam/back-end-developer-nodejs-ngan-hang-quoc-te-vib-2027094
9809,"HOT Front End Developer (Reactjs, MongoDB)",Ngân hàng Quốc Tế VIB,"Quận 1, Hồ Chí Minh - Quận Hoàn Kiếm, Hà Nội",Thương lượng,Ngân Hàng,,"MongoDB, ReactJS, Front-End",https://topdev.vn/viec-lam/front-end-developer-reactjs-mongodb-ngan-hang-quoc-te-vib-2027093
9810,Junior Python Developers,CÔNG TY CỔ PHẦN CODIGNIFY,"Quận Ba Đình, Hà Nội",Thương lượng,"Gia công phần mềm, Phần Mềm, Dịch vụ IT",Top 3 Reasons To Join Us Friendly and cooperative environment High-performance team members High salary with HR review every 6 months (Up to $150...,"Django, Python",https://topdev.vn/viec-lam/junior-python-developers-cong-ty-co-phan-codignify-2027092
9811,Data Engineer,TAPTAP,"Quận 1, Hồ Chí Minh",Thương lượng,Thương mại điện tử/ Bán lẻ,,"OOP, MongoDB, Data Engineer, Data Warehouse, PostgreSql",https://topdev.vn/viec-lam/data-engineer-taptap-2027091
9812,HOT ASP.NET / ASP.NET Core Developer,QST Technology,"Quận Thanh Xuân, Hà Nội","Lên tới 35,000,000 VND",Phần Mềm,Công ty TNHH QST Technology đang tìm kiếm các kỹ sư lập trình ASP.NET / ASP.NET Core với mức lương hấp dẫn và các chế độ phúc lợi tốt cùng những cơ hộ...,"ASP.NET, MS SQL, PostgreSql, ASP.NET Core, HTML & CSS",https://topdev.vn/viec-lam/asp-net-asp-net-core-developer-qst-technology-2027089
9813,Software Engineer (Java/ JS),Yes4All Trading Services Company Limited,"Quận Phú Nhuận, Hồ Chí Minh","Lên tới 25,000,000 VND",Thương mại điện tử/ Bán lẻ,,"AngularJS, Java, JavaScript, ReactJS, Spring, Full-Stack",https://topdev.vn/viec-lam/software-engineer-java-js-yes4all-trading-services-company-limited-2027088
9814,HOT Java Developer,Green Flash Software,"Quận Bình Tân, Hồ Chí Minh","Lên tới 2,000 USD",Phần Mềm,Quantity: 05 Nhân viên,"Java, Spring",https://topdev.vn/viec-lam/java-developer-green-flash-software-2027087
9815,HOT Technical Manager,DatVietVAC Group Holdings,"Quận 3, Hồ Chí Minh",Thương lượng,"Quảng Cáo Truyền Thông, Giải trí/ Game",,"PHP, MySQL, Python, NodeJS, MongoDB, Golang, ReactJS, Agile & Scrum, elasticsearch",https://topdev.vn/viec-lam/technical-manager-datvietvac-group-holdings-2027085
9816,[All Levels] GAME ENGINEER_UNITY,Punch Entertainment Vietnam,"Quận Cầu Giấy, Hà Nội",Thương lượng,Phần Mềm,"Punch Entertainment (Vietnam) is a subsidiary of EVOLABLE ASIA, one of the largest Japanese IT Companies in South-East Asia. We are seeking talente...","Unity, Unity3d, Game Developer",https://topdev.vn/viec-lam/all-levels-game-engineer-unity-punch-entertainment-vietnam-2027084
9817,HOT IoT-Developer (m/f/d),ZOI.TECH SGN,"Quận 1, Hồ Chí Minh",Thương lượng,Phần Mềm,Experience the magical world between big-name industry clients and a thriving nerd sector. Come to the sunny side of IT. Do you love the vibrant st...,IoT Development,https://topdev.vn/viec-lam/iot-developer-m-f-d-zoi-tech-sgn-2027083
9818,HOT Senior Data Engineer (m/f/d),ZOI.TECH SGN,"Quận 1, Hồ Chí Minh",Thương lượng,Phần Mềm,Enjoy the magical world between big-name industry clients and a thriving nerd space. Come to the bright side of IT. Do you love a buzzing startup s...,"Python, Data Engineer, R",https://topdev.vn/viec-lam/senior-data-engineer-m-f-d-zoi-tech-sgn-2027082
